address,annotations,bio
دمياط الرحاب,"{""CITY"": ""دمياط"", ""AREA"": ""الرحاب""}","[[""دمياط"", ""B-CITY""], [""الرحاب"", ""B-AREA""]]"
المعصره شقه ٥ قريب من محطه المترو عماره ١٢ شارع الهرم,"{""AREA"": ""المعصره"", ""STREET"": ""الهرم"", ""LANDMARK"": ""محطه المترو"", ""BUILDING"": ""١٢"", ""APARTMENT"": ""٥""}","[[""المعصره"", ""B-AREA""], [""شقه"", ""O""], [""٥"", ""B-APARTMENT""], [""قريب"", ""O""], [""من"", ""O""], [""محطه"", ""B-LANDMARK""], [""المترو"", ""I-LANDMARK""], [""عماره"", ""O""], [""١٢"", ""B-BUILDING""], [""شارع"", ""O""], [""الهرم"", ""B-STREET""]]"
محافظه الغردقه عقار نفرتيتي شارع عباس العقاد,"{""CITY"": ""الغردقه"", ""STREET"": ""عباس العقاد"", ""BUILDING"": ""نفرتيتي""}","[[""محافظه"", ""O""], [""الغردقه"", ""B-CITY""], [""عقار"", ""O""], [""نفرتيتي"", ""B-BUILDING""], [""شارع"", ""O""], [""عباس"", ""B-STREET""], [""العقاد"", ""I-STREET""]]"
عقار الرياحين ميت غمر طابق ١٠,"{""CITY"": ""ميت غمر"", ""BUILDING"": ""الرياحين"", ""FLOOR"": ""١٠""}","[[""عقار"", ""O""], [""الرياحين"", ""B-BUILDING""], [""ميت"", ""B-CITY""], [""غمر"", ""I-CITY""], [""طابق"", ""O""], [""١٠"", ""B-FLOOR""]]"
سموحه في الدقهليه,"{""CITY"": ""الدقهليه"", ""AREA"": ""سموحه""}","[[""سموحه"", ""B-AREA""], [""في"", ""O""], [""الدقهليه"", ""B-CITY""]]"
شارع سوريا الطابق ٢٠ شقة رقم ٩ النزهه,"{""AREA"": ""النزهه"", ""STREET"": ""سوريا"", ""FLOOR"": ""٢٠"", ""APARTMENT"": ""٩""}","[[""شارع"", ""O""], [""سوريا"", ""B-STREET""], [""الطابق"", ""O""], [""٢٠"", ""B-FLOOR""], [""شقة"", ""O""], [""رقم"", ""O""], [""٩"", ""B-APARTMENT""], [""النزهه"", ""B-AREA""]]"
المعصره شبرا الخيمه,"{""CITY"": ""شبرا الخيمه"", ""AREA"": ""المعصره""}","[[""المعصره"", ""B-AREA""], [""شبرا"", ""B-CITY""], [""الخيمه"", ""I-CITY""]]"
ميت غمر الشيخ زايد دور 19 عقار 20 شارع الوحده,"{""CITY"": ""ميت غمر"", ""AREA"": ""الشيخ زايد"", ""STREET"": ""الوحده"", ""BUILDING"": ""20"", ""FLOOR"": ""19""}","[[""ميت"", ""B-CITY""], [""غمر"", ""I-CITY""], [""الشيخ"", ""B-AREA""], [""زايد"", ""I-AREA""], [""دور"", ""O""], [""19"", ""B-FLOOR""], [""عقار"", ""O""], [""20"", ""B-BUILDING""], [""شارع"", ""O""], [""الوحده"", ""B-STREET""]]"
كرموز عند مدرسه الفردوس طابق ١٦ شقة 7 في الشرقيه شارع ليبيا عماره ٢٠,"{""CITY"": ""الشرقيه"", ""AREA"": ""كرموز"", ""STREET"": ""ليبيا"", ""LANDMARK"": ""مدرسه الفردوس"", ""BUILDING"": ""٢٠"", ""FLOOR"": ""١٦"", ""APARTMENT"": ""7""}","[[""كرموز"", ""B-AREA""], [""عند"", ""O""], [""مدرسه"", ""B-LANDMARK""], [""الفردوس"", ""I-LANDMARK""], [""طابق"", ""O""], [""١٦"", ""B-FLOOR""], [""شقة"", ""O""], [""7"", ""B-APARTMENT""], [""في"", ""O""], [""الشرقيه"", ""B-CITY""], [""شارع"", ""O""], [""ليبيا"", ""B-STREET""], [""عماره"", ""O""], [""٢٠"", ""B-BUILDING""]]"
عقار 8 قدام المعهد شقه رقم 1 الدور السادس ش ١٠ كفر الشيخ,"{""CITY"": ""كفر الشيخ"", ""STREET"": ""١٠"", ""LANDMARK"": ""المعهد"", ""BUILDING"": ""8"", ""FLOOR"": ""السادس"", ""APARTMENT"": ""1""}","[[""عقار"", ""O""], [""8"", ""B-BUILDING""], [""قدام"", ""O""], [""المعهد"", ""B-LANDMARK""], [""شقه"", ""O""], [""رقم"", ""O""], [""1"", ""B-APARTMENT""], [""الدور"", ""O""], [""السادس"", ""B-FLOOR""], [""ش"", ""O""], [""١٠"", ""B-STREET""], [""كفر"", ""B-CITY""], [""الشيخ"", ""I-CITY""]]"
شقة ٤ جمب الجامعه المهندسين في السويس,"{""CITY"": ""السويس"", ""AREA"": ""المهندسين"", ""LANDMARK"": ""الجامعه"", ""APARTMENT"": ""٤""}","[[""شقة"", ""O""], [""٤"", ""B-APARTMENT""], [""جمب"", ""O""], [""الجامعه"", ""B-LANDMARK""], [""المهندسين"", ""B-AREA""], [""في"", ""O""], [""السويس"", ""B-CITY""]]"
شارع محمود خاطر محافظه المنصوره شقه ١ الطابق الثامن عقار ١٠ طره,"{""CITY"": ""المنصوره"", ""AREA"": ""طره"", ""STREET"": ""محمود خاطر"", ""BUILDING"": ""١٠"", ""FLOOR"": ""الثامن"", ""APARTMENT"": ""١""}","[[""شارع"", ""O""], [""محمود"", ""B-STREET""], [""خاطر"", ""I-STREET""], [""محافظه"", ""O""], [""المنصوره"", ""B-CITY""], [""شقه"", ""O""], [""١"", ""B-APARTMENT""], [""الطابق"", ""O""], [""الثامن"", ""B-FLOOR""], [""عقار"", ""O""], [""١٠"", ""B-BUILDING""], [""طره"", ""B-AREA""]]"
عند بنك النور الطابق 1 في حلوان شارع فيصل شقه ١٦ مبنى ٢,"{""AREA"": ""حلوان"", ""STREET"": ""فيصل"", ""LANDMARK"": ""بنك النور"", ""BUILDING"": ""٢"", ""FLOOR"": ""1"", ""APARTMENT"": ""١٦""}","[[""عند"", ""O""], [""بنك"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""], [""الطابق"", ""O""], [""1"", ""B-FLOOR""], [""في"", ""O""], [""حلوان"", ""B-AREA""], [""شارع"", ""O""], [""فيصل"", ""B-STREET""], [""شقه"", ""O""], [""١٦"", ""B-APARTMENT""], [""مبنى"", ""O""], [""٢"", ""B-BUILDING""]]"
بيت ١٧ شارع الفلاح المهندسين ورا النادي الاهلي شقه 14,"{""AREA"": ""المهندسين"", ""STREET"": ""الفلاح"", ""LANDMARK"": ""النادي الاهلي"", ""BUILDING"": ""١٧"", ""APARTMENT"": ""14""}","[[""بيت"", ""O""], [""١٧"", ""B-BUILDING""], [""شارع"", ""O""], [""الفلاح"", ""B-STREET""], [""المهندسين"", ""B-AREA""], [""ورا"", ""O""], [""النادي"", ""B-LANDMARK""], [""الاهلي"", ""I-LANDMARK""], [""شقه"", ""O""], [""14"", ""B-APARTMENT""]]"
شقه رقم 5 جنب نادي الشمس حي التجمع الطابق 16 الاقصر عماره 7,"{""CITY"": ""الاقصر"", ""AREA"": ""التجمع"", ""LANDMARK"": ""نادي الشمس"", ""BUILDING"": ""7"", ""FLOOR"": ""16"", ""APARTMENT"": ""5""}","[[""شقه"", ""O""], [""رقم"", ""O""], [""5"", ""B-APARTMENT""], [""جنب"", ""O""], [""نادي"", ""B-LANDMARK""], [""الشمس"", ""I-LANDMARK""], [""حي"", ""O""], [""التجمع"", ""B-AREA""], [""الطابق"", ""O""], [""16"", ""B-FLOOR""], [""الاقصر"", ""B-CITY""], [""عماره"", ""O""], [""7"", ""B-BUILDING""]]"
حي الزاويه الحمرا في سوهاج,"{""CITY"": ""سوهاج"", ""AREA"": ""الزاويه الحمرا""}","[[""حي"", ""O""], [""الزاويه"", ""B-AREA""], [""الحمرا"", ""I-AREA""], [""في"", ""O""], [""سوهاج"", ""B-CITY""]]"
شقه رقم ١ الاسماعيليه عماره ٢٠ الطابق الثاني روض الفرج ش ابو بكر الصديق تحت مدرسه الامل,"{""CITY"": ""الاسماعيليه"", ""AREA"": ""روض الفرج"", ""STREET"": ""ابو بكر الصديق"", ""LANDMARK"": ""مدرسه الامل"", ""BUILDING"": ""٢٠"", ""FLOOR"": ""الثاني"", ""APARTMENT"": ""١""}","[[""شقه"", ""O""], [""رقم"", ""O""], [""١"", ""B-APARTMENT""], [""الاسماعيليه"", ""B-CITY""], [""عماره"", ""O""], [""٢٠"", ""B-BUILDING""], [""الطابق"", ""O""], [""الثاني"", ""B-FLOOR""], [""روض"", ""B-AREA""], [""الفرج"", ""I-AREA""], [""ش"", ""O""], [""ابو"", ""B-STREET""], [""بكر"", ""I-STREET""], [""الصديق"", ""I-STREET""], [""تحت"", ""O""], [""مدرسه"", ""B-LANDMARK""], [""الامل"", ""I-LANDMARK""]]"
شارع البحر في العجوزه شقة 4,"{""AREA"": ""العجوزه"", ""STREET"": ""البحر"", ""APARTMENT"": ""4""}","[[""شارع"", ""O""], [""البحر"", ""B-STREET""], [""في"", ""O""], [""العجوزه"", ""B-AREA""], [""شقة"", ""O""], [""4"", ""B-APARTMENT""]]"
برج ٦ الطابق التاسع شقه ٣ في امبابه شرم الشيخ شارع 15 قدام سوبر ماركت السلام,"{""CITY"": ""شرم الشيخ"", ""AREA"": ""امبابه"", ""STREET"": ""15"", ""LANDMARK"": ""سوبر ماركت السلام"", ""BUILDING"": ""٦"", ""FLOOR"": ""التاسع"", ""APARTMENT"": ""٣""}","[[""برج"", ""O""], [""٦"", ""B-BUILDING""], [""الطابق"", ""O""], [""التاسع"", ""B-FLOOR""], [""شقه"", ""O""], [""٣"", ""B-APARTMENT""], [""في"", ""O""], [""امبابه"", ""B-AREA""], [""شرم"", ""B-CITY""], [""الشيخ"", ""I-CITY""], [""شارع"", ""O""], [""15"", ""B-STREET""], [""قدام"", ""O""], [""سوبر"", ""B-LANDMARK""], [""ماركت"", ""I-LANDMARK""], [""السلام"", ""I-LANDMARK""]]"
عقار ٤ شارع السلام المنيا,"{""CITY"": ""المنيا"", ""STREET"": ""السلام"", ""BUILDING"": ""٤""}","[[""عقار"", ""O""], [""٤"", ""B-BUILDING""], [""شارع"", ""O""], [""السلام"", ""B-STREET""], [""المنيا"", ""B-CITY""]]"
بنها جنب كافيه الامل الشروق شقة ٤,"{""CITY"": ""بنها"", ""AREA"": ""الشروق"", ""LANDMARK"": ""كافيه الامل"", ""APARTMENT"": ""٤""}","[[""بنها"", ""B-CITY""], [""جنب"", ""O""], [""كافيه"", ""B-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""الشروق"", ""B-AREA""], [""شقة"", ""O""], [""٤"", ""B-APARTMENT""]]"
دور ١ شقه ٨ ش البحرين حي ميت عقبه الاسماعيليه,"{""CITY"": ""الاسماعيليه"", ""AREA"": ""ميت عقبه"", ""STREET"": ""البحرين"", ""FLOOR"": ""١"", ""APARTMENT"": ""٨""}","[[""دور"", ""O""], [""١"", ""B-FLOOR""], [""شقه"", ""O""], [""٨"", ""B-APARTMENT""], [""ش"", ""O""], [""البحرين"", ""B-STREET""], [""حي"", ""O""], [""ميت"", ""B-AREA""], [""عقبه"", ""I-AREA""], [""الاسماعيليه"", ""B-CITY""]]"
بيت الرياحين عند مسجد السلام اللبان شارع محمد حسين هيكل,"{""AREA"": ""اللبان"", ""STREET"": ""محمد حسين هيكل"", ""LANDMARK"": ""مسجد السلام"", ""BUILDING"": ""الرياحين""}","[[""بيت"", ""O""], [""الرياحين"", ""B-BUILDING""], [""عند"", ""O""], [""مسجد"", ""B-LANDMARK""], [""السلام"", ""I-LANDMARK""], [""اللبان"", ""B-AREA""], [""شارع"", ""O""], [""محمد"", ""B-STREET""], [""حسين"", ""I-STREET""], [""هيكل"", ""I-STREET""]]"
شارع البحر محافظه بنها الطابق الثالث شقه ١٣,"{""CITY"": ""بنها"", ""STREET"": ""البحر"", ""FLOOR"": ""الثالث"", ""APARTMENT"": ""١٣""}","[[""شارع"", ""O""], [""البحر"", ""B-STREET""], [""محافظه"", ""O""], [""بنها"", ""B-CITY""], [""الطابق"", ""O""], [""الثالث"", ""B-FLOOR""], [""شقه"", ""O""], [""١٣"", ""B-APARTMENT""]]"
عماره 3 شارع التحرير طابق التامن عابدين,"{""AREA"": ""عابدين"", ""STREET"": ""التحرير"", ""BUILDING"": ""3"", ""FLOOR"": ""التامن""}","[[""عماره"", ""O""], [""3"", ""B-BUILDING""], [""شارع"", ""O""], [""التحرير"", ""B-STREET""], [""طابق"", ""O""], [""التامن"", ""B-FLOOR""], [""عابدين"", ""B-AREA""]]"
طابق ١١ الفيوم الوراق عماره الزهراء شارع ١٥ شقة ٤,"{""CITY"": ""الفيوم"", ""AREA"": ""الوراق"", ""STREET"": ""١٥"", ""BUILDING"": ""الزهراء"", ""FLOOR"": ""١١"", ""APARTMENT"": ""٤""}","[[""طابق"", ""O""], [""١١"", ""B-FLOOR""], [""الفيوم"", ""B-CITY""], [""الوراق"", ""B-AREA""], [""عماره"", ""O""], [""الزهراء"", ""B-BUILDING""], [""شارع"", ""O""], [""١٥"", ""B-STREET""], [""شقة"", ""O""], [""٤"", ""B-APARTMENT""]]"
الطابق ٩ شارع الاتحاد شقة ١٣ مصطفى كامل برج الياسمين السويس,"{""CITY"": ""السويس"", ""AREA"": ""مصطفى كامل"", ""STREET"": ""الاتحاد"", ""BUILDING"": ""الياسمين"", ""FLOOR"": ""٩"", ""APARTMENT"": ""١٣""}","[[""الطابق"", ""O""], [""٩"", ""B-FLOOR""], [""شارع"", ""O""], [""الاتحاد"", ""B-STREET""], [""شقة"", ""O""], [""١٣"", ""B-APARTMENT""], [""مصطفى"", ""B-AREA""], [""كامل"", ""I-AREA""], [""برج"", ""O""], [""الياسمين"", ""B-BUILDING""], [""السويس"", ""B-CITY""]]"
بيت السلام شارع محمد نجيب الاسكندريه,"{""CITY"": ""الاسكندريه"", ""STREET"": ""محمد نجيب"", ""BUILDING"": ""السلام""}","[[""بيت"", ""O""], [""السلام"", ""B-BUILDING""], [""شارع"", ""O""], [""محمد"", ""B-STREET""], [""نجيب"", ""I-STREET""], [""الاسكندريه"", ""B-CITY""]]"
فيلا نفرتيتي شارع بغداد شقه ١١ قنا طابق ١٩,"{""CITY"": ""قنا"", ""STREET"": ""بغداد"", ""BUILDING"": ""نفرتيتي"", ""FLOOR"": ""١٩"", ""APARTMENT"": ""١١""}","[[""فيلا"", ""O""], [""نفرتيتي"", ""B-BUILDING""], [""شارع"", ""O""], [""بغداد"", ""B-STREET""], [""شقه"", ""O""], [""١١"", ""B-APARTMENT""], [""قنا"", ""B-CITY""], [""طابق"", ""O""], [""١٩"", ""B-FLOOR""]]"
شقه ١٦ العجوزه ش النصر في المنصوره الدور التامن,"{""CITY"": ""المنصوره"", ""AREA"": ""العجوزه"", ""STREET"": ""النصر"", ""FLOOR"": ""التامن"", ""APARTMENT"": ""١٦""}","[[""شقه"", ""O""], [""١٦"", ""B-APARTMENT""], [""العجوزه"", ""B-AREA""], [""ش"", ""O""], [""النصر"", ""B-STREET""], [""في"", ""O""], [""المنصوره"", ""B-CITY""], [""الدور"", ""O""], [""التامن"", ""B-FLOOR""]]"
